cik,name,ticker,exchange,industry,sector,country
320193,Apple Inc.,AAPL,Nasdaq,Consumer Electronics,Technology,United States
789019,MICROSOFT CORP,MSFT,Nasdaq,Software—Infrastructure,Technology,United States
1652044,Alphabet Inc.,GOOGL,Nasdaq,Internet Content & Information,Communication Services,United States
1018724,AMAZON COM INC,AMZN,Nasdaq,Internet Retail,Consumer Cyclical,United States
1045810,NVIDIA CORP,NVDA,Nasdaq,Semiconductors,Technology,United States
1318605,"Tesla, Inc.",TSLA,Nasdaq,Auto Manufacturers,Consumer Cyclical,United States
1067983,BERKSHIRE HATHAWAY INC,BRK-B,NYSE,Insurance—Diversified,Financial Services,United States
1326801,"Meta Platforms, Inc.",META,Nasdaq,Internet Content & Information,Communication Services,United States
1046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,TSM,NYSE,Semiconductors,Technology,Taiwan
1403161,VISA INC.,V,NYSE,Credit Services,Financial Services,United States
824046,LVMH MOET HENNESSY LOUIS VUITTON,LVMUY,OTC,Luxury Goods,Consumer Cyclical,France
731766,UNITEDHEALTH GROUP INC,UNH,NYSE,Healthcare Plans,Healthcare,United States
59478,ELI LILLY & Co,LLY,NYSE,Drug Manufacturers—General,Healthcare,United States
34088,EXXON MOBIL CORP,XOM,NYSE,Oil & Gas Integrated,Energy,United States
200406,JOHNSON & JOHNSON,JNJ,NYSE,Drug Manufacturers—General,Healthcare,United States
19617,JPMORGAN CHASE & CO,JPM,NYSE,Banks—Diversified,Financial Services,United States
104169,Walmart Inc.,WMT,NYSE,Discount Stores,Consumer Defensive,United States
884394,SPDR S&P 500 ETF TRUST,SPY,NYSE,,,
1141391,Mastercard Inc,MA,NYSE,Credit Services,Financial Services,United States
1730168,Broadcom Inc.,AVGO,Nasdaq,Semiconductors,Technology,United States
353278,NOVO NORDISK A S,NVO,NYSE,Biotechnology,Healthcare,Denmark
80424,PROCTER & GAMBLE Co,PG,NYSE,Household & Personal Products,Consumer Defensive,United States
1047716,LATAM AIRLINES GROUP S.A.,LTMAY,OTC,Airlines,Industrials,Chile
1545460,"Oriental Land Co., Ltd./ADR",OLCLY,OTC,Leisure,Consumer Cyclical,Japan
1341439,ORACLE CORP,ORCL,NYSE,Software—Infrastructure,Technology,United States
354950,"HOME DEPOT, INC.",HD,NYSE,Home Improvement Retail,Consumer Cyclical,United States
93410,CHEVRON CORP,CVX,NYSE,Oil & Gas Integrated,Energy,United States
937966,ASML HOLDING NV,ASML,Nasdaq,Semiconductor Equipment & Materials,Technology,Netherlands
310158,"Merck & Co., Inc.",MRK,NYSE,Drug Manufacturers—General,Healthcare,United States
21344,COCA COLA CO,KO,NYSE,Beverages—Non-Alcoholic,Consumer Defensive,United States
77476,PEPSICO INC,PEP,Nasdaq,Beverages—Non-Alcoholic,Consumer Defensive,United States
1551152,AbbVie Inc.,ABBV,NYSE,Drug Manufacturers—General,Healthcare,United States
909832,COSTCO WHOLESALE CORP /NEW,COST,Nasdaq,Discount Stores,Consumer Defensive,United States
70858,BANK OF AMERICA CORP /DE/,BAC,NYSE,Banks—Diversified,Financial Services,United States
796343,ADOBE INC.,ADBE,Nasdaq,Software—Infrastructure,Technology,United States
1094517,TOYOTA MOTOR CORP/,TM,NYSE,Auto Manufacturers,Consumer Cyclical,Japan
901832,ASTRAZENECA PLC,AZN,Nasdaq,Drug Manufacturers—General,Healthcare,United Kingdom
811809,BHP Group Ltd,BHP,NYSE,Other Industrial Metals & Mining,Basic Materials,Australia
63908,MCDONALDS CORP,MCD,NYSE,Restaurants,Consumer Cyclical,United States
1577552,Alibaba Group Holding Ltd,BABA,NYSE,Internet Retail,Consumer Cyclical,China
1114448,NOVARTIS AG,NVS,NYSE,Drug Manufacturers—General,Healthcare,Switzerland
858877,"CISCO SYSTEMS, INC.",CSCO,Nasdaq,Communication Equipment,Technology,United States
1108524,"Salesforce, Inc.",CRM,NYSE,Software—Application,Technology,United States
78003,PFIZER INC,PFE,NYSE,Drug Manufacturers—General,Healthcare,United States
1306965,Shell plc,SHEL,NYSE,Oil & Gas Integrated,Energy,United Kingdom
97745,THERMO FISHER SCIENTIFIC INC.,TMO,NYSE,Diagnostics & Research,Healthcare,United States
1061736,MEXICAN ECONOMIC DEVELOPMENT INC,FMX,NYSE,Beverages—Brewers,Consumer Defensive,Mexico
1467373,Accenture plc,ACN,NYSE,Information Technology Services,Technology,Ireland
1065280,NETFLIX INC,NFLX,Nasdaq,Entertainment,Communication Services,United States
1800,ABBOTT LABORATORIES,ABT,NYSE,Medical Devices,Healthcare,United States
1707925,LINDE PLC,LIN,NYSE,Specialty Chemicals,Basic Materials,United Kingdom
2488,ADVANCED MICRO DEVICES INC,AMD,Nasdaq,Semiconductors,Technology,United States
313616,DANAHER CORP /DE/,DHR,NYSE,Diagnostics & Research,Healthcare,United States
320187,"NIKE, Inc.",NKE,NYSE,Footwear & Accessories,Consumer Cyclical,United States
1166691,COMCAST CORP,CMCSA,Nasdaq,Telecom Services,Communication Services,United States
1283699,"T-Mobile US, Inc.",TMUS,Nasdaq,Telecom Services,Communication Services,United States
1744489,Walt Disney Co,DIS,NYSE,Entertainment,Communication Services,United States
97476,TEXAS INSTRUMENTS INC,TXN,Nasdaq,Semiconductors,Technology,United States
72971,WELLS FARGO & COMPANY/MN,WFC,NYSE,Banks—Diversified,Financial Services,United States
1000184,SAP SE,SAP,NYSE,Software—Application,Technology,Germany
1089113,HSBC HOLDINGS PLC,HSBC,NYSE,Banks—Diversified,Financial Services,United Kingdom
732712,VERIZON COMMUNICATIONS INC,VZ,NYSE,Telecom Services,Communication Services,United States
1413329,Philip Morris International Inc.,PM,NYSE,Tobacco,Consumer Defensive,United States
